code,name,prefix
ARHM 3342,Advanced Interdisciplinary Studies in the Arts and Humanities,ARHM
ARHM 4V71,Independent Study in the Arts and Humanities,ARHM
ARHM 4V99,"Art, Humanities, and Culture",ARHM
ARTS 1301,Exploration of the Arts,ARTS
ARTS 1316,Drawing Foundations,ARTS
ARTS 2315,Topics in Visual Art,ARTS
ARTS 2316,Painting Foundations,ARTS
ARTS 2350,Photography: Design,ARTS
ARTS 2380,Visual Design Foundations,ARTS
ARTS 2381,Introduction to Sculpture,ARTS
ARTS 2V71,Independent Study in Visual Arts,ARTS
ARTS 3311,Contemporary Art Practices,ARTS
ARTS 3313,Intermediate Visual Design,ARTS
ARTS 3315,"The Art of Tinkering: Creating at the intersection of Art, Science and Technology",ARTS
ARTS 3340,Topics in Studio Art,ARTS
ARTS 3341,Chinese Calligraphy,ARTS
ARTS 3363,"Typography, Technology, Image",ARTS
ARTS 3364,Silkscreen Printmaking,ARTS
ARTS 3366,Intermediate Drawing,ARTS
ARTS 3367,Figure Drawing,ARTS
ARTS 3368,Mixed Media,ARTS
ARTS 3369,Intermediate Painting,ARTS
ARTS 3371,Photography: Black/White,ARTS
ARTS 3372,Photography: Color Concepts,ARTS
ARTS 3373,Printmaking,ARTS
ARTS 3375,Sculpture,ARTS
ARTS 3376,Time-Based Art,ARTS
ARTS 3377,Photography: Altered Image,ARTS
ARTS 3378,Figure Sculpture,ARTS
ARTS 3379,Photography: New Media,ARTS
ARTS 3381,Video Painting,ARTS
ARTS 3382,Color as Subject,ARTS
ARTS 4305,The Art of Graphic Design,ARTS
ARTS 4308,Image/Text,ARTS
ARTS 4310,Studies in Contemporary Exhibitions,ARTS
ARTS 4366,Advanced Drawing,ARTS
ARTS 4368,Advanced Visual Arts,ARTS
ARTS 4369,Advanced Painting,ARTS
ARTS 4372,Advanced Photography,ARTS
ARTS 4V71,Independent Study in Visual Arts,ARTS
ATCM 1100,First Year Seminar,ATCM
ATCM 2300,Introduction to TechnoCulture,ATCM
ATCM 2301,Computer Imaging,ATCM
ATCM 2302,Design I,ATCM
ATCM 2303,"Project Management for Arts, Technology, and Emerging Communication I",ATCM
ATCM 2310,Animation and Game Fundamentals,ATCM
ATCM 2315,Animation Origins and Techniques,ATCM
ATCM 2320,Critical Media Research Foundations,ATCM
ATCM 2321,Reading Media Critically,ATCM
ATCM 2322,Media Histories,ATCM
ATCM 2330,Digital Art and Social Practice,ATCM
ATCM 2335,Internet Studio I,ATCM
ATCM 2340,Visual Communication,ATCM
ATCM 2343,Emerging Media Art Histories,ATCM
ATCM 2345,Principles of Digital Audio,ATCM
ATCM 2350,Time-Based Media,ATCM
ATCM 2355,Survey of Digital Fabrication,ATCM
ATCM 2360,Design Histories,ATCM
ATCM 2375,History of Games,ATCM
ATCM 2380,Introduction to Emerging Communication,ATCM
ATCM 3300,Code Plus Culture,ATCM
ATCM 3301,Writing for ATEC,ATCM
ATCM 3303,"Project Management for Arts, Technology, and Emerging Communication II",ATCM
ATCM 3304,Character Design,ATCM
ATCM 3305,Computer Animation I,ATCM
ATCM 3306,Modeling and Texturing I,ATCM
ATCM 3307,Lighting and Composition I,ATCM
ATCM 3308,Rigging I,ATCM
ATCM 3309,Visual Story I,ATCM
ATCM 3310,Procedural Animation,ATCM
ATCM 3311,Scripting for Animation,ATCM
ATCM 3312,Surfacing and Shading I,ATCM
ATCM 3313,2D Animation,ATCM
ATCM 3315,Animation Studies,ATCM
ATCM 3320,Critical Media Theories,ATCM
ATCM 3321,Networked Identities,ATCM
ATCM 3323,Reading in a Networked Era,ATCM
ATCM 3325,Global Media Cultures,ATCM
ATCM 3330,Digital Art and Social Practice,ATCM
ATCM 3331,Critical Making,ATCM
